token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
55290,NIFTY29SEP2631500CE,NIFTY,29SEP2026,3150000.000000,65,OPTIDX,NFO,5.000000
55381,NIFTY29JUN2731500PE,NIFTY,29JUN2027,3150000.000000,65,OPTIDX,NFO,5.000000
55428,NIFTY28DEC2728500CE,NIFTY,28DEC2027,2850000.000000,65,OPTIDX,NFO,5.000000
55429,NIFTY28DEC2728500PE,NIFTY,28DEC2027,2850000.000000,65,OPTIDX,NFO,5.000000
55479,NIFTY27JUN2828500PE,NIFTY,27JUN2028,2850000.000000,65,OPTIDX,NFO,5.000000
55480,NIFTY27JUN2831500CE,NIFTY,27JUN2028,3150000.000000,65,OPTIDX,NFO,5.000000
55529,NIFTY26DEC2834500PE,NIFTY,26DEC2028,3450000.000000,65,OPTIDX,NFO,5.000000
55559,NIFTY26JUN2919500PE,NIFTY,26JUN2029,1950000.000000,65,OPTIDX,NFO,5.000000
55565,NIFTY26JUN2928500PE,NIFTY,26JUN2029,2850000.000000,65,OPTIDX,NFO,5.000000
55566,NIFTY26JUN2931500CE,NIFTY,26JUN2029,3150000.000000,65,OPTIDX,NFO,5.000000
55701,NIFTY31DEC3019500PE,NIFTY,31DEC2030,1950000.000000,65,OPTIDX,NFO,5.000000
55712,NIFTY02MAR2626800PE,NIFTY,02MAR2026,2680000.000000,65,OPTIDX,NFO,5.000000
55715,NIFTY02MAR2626900CE,NIFTY,02MAR2026,2690000.000000,65,OPTIDX,NFO,5.000000
55723,NIFTY02MAR2627000CE,NIFTY,02MAR2026,2700000.000000,65,OPTIDX,NFO,5.000000
55736,NIFTY02MAR2627300PE,NIFTY,02MAR2026,2730000.000000,65,OPTIDX,NFO,5.000000
55761,NIFTY31DEC3028500PE,NIFTY,31DEC2030,2850000.000000,65,OPTIDX,NFO,5.000000
57794,NIFTY17MAR2623950PE,NIFTY,17MAR2026,2395000.000000,65,OPTIDX,NFO,5.000000
57801,NIFTY17MAR2624150CE,NIFTY,17MAR2026,2415000.000000,65,OPTIDX,NFO,5.000000
57816,NIFTY17MAR2624250PE,NIFTY,17MAR2026,2425000.000000,65,OPTIDX,NFO,5.000000
57827,NIFTY17MAR2624350PE,NIFTY,17MAR2026,2435000.000000,65,OPTIDX,NFO,5.000000
57832,NIFTY17MAR2624400CE,NIFTY,17MAR2026,2440000.000000,65,OPTIDX,NFO,5.000000
57847,NIFTY17MAR2624500CE,NIFTY,17MAR2026,2450000.000000,65,OPTIDX,NFO,5.000000
57866,NIFTY17MAR2624550PE,NIFTY,17MAR2026,2455000.000000,65,OPTIDX,NFO,5.000000
57878,NIFTY17MAR2624850PE,NIFTY,17MAR2026,2485000.000000,65,OPTIDX,NFO,5.000000
57885,NIFTY17MAR2625000PE,NIFTY,17MAR2026,2500000.000000,65,OPTIDX,NFO,5.000000
57912,NIFTY17MAR2625500CE,NIFTY,17MAR2026,2550000.000000,65,OPTIDX,NFO,5.000000
57913,NIFTY17MAR2625500PE,NIFTY,17MAR2026,2550000.000000,65,OPTIDX,NFO,5.000000
57916,NIFTY17MAR2625600CE,NIFTY,17MAR2026,2560000.000000,65,OPTIDX,NFO,5.000000
57917,NIFTY17MAR2625600PE,NIFTY,17MAR2026,2560000.000000,65,OPTIDX,NFO,5.000000
57923,NIFTY17MAR2625750CE,NIFTY,17MAR2026,2575000.000000,65,OPTIDX,NFO,5.000000
57998,NIFTY17MAR2626200PE,NIFTY,17MAR2026,2620000.000000,65,OPTIDX,NFO,5.000000
58006,NIFTY17MAR2626400PE,NIFTY,17MAR2026,2640000.000000,65,OPTIDX,NFO,5.000000
58040,NIFTY17MAR2626600PE,NIFTY,17MAR2026,2660000.000000,65,OPTIDX,NFO,5.000000
58128,NIFTY17MAR2627050CE,NIFTY,17MAR2026,2705000.000000,65,OPTIDX,NFO,5.000000
58161,NIFTY17MAR2627650PE,NIFTY,17MAR2026,2765000.000000,65,OPTIDX,NFO,5.000000
58631,NIFTY29DEC2613000PE,NIFTY,29DEC2026,1300000.000000,65,OPTIDX,NFO,5.000000
58639,NIFTY29DEC2617000PE,NIFTY,29DEC2026,1700000.000000,65,OPTIDX,NFO,5.000000
58643,NIFTY29DEC2619000PE,NIFTY,29DEC2026,1900000.000000,65,OPTIDX,NFO,5.000000
58644,NIFTY29DEC2620000CE,NIFTY,29DEC2026,2000000.000000,65,OPTIDX,NFO,5.000000
60905,NIFTY25JUN3024000PE,NIFTY,25JUN2030,2400000.000000,65,OPTIDX,NFO,5.000000
61391,NIFTY24DEC2918000PE,NIFTY,24DEC2029,1800000.000000,65,OPTIDX,NFO,5.000000
61749,NIFTY24DEC2924000PE,NIFTY,24DEC2029,2400000.000000,65,OPTIDX,NFO,5.000000
62602,NIFTY24MAR2623650CE,NIFTY,24MAR2026,2365000.000000,65,OPTIDX,NFO,5.000000
62665,NIFTY24MAR2624450PE,NIFTY,24MAR2026,2445000.000000,65,OPTIDX,NFO,5.000000
62706,NIFTY24MAR2624950CE,NIFTY,24MAR2026,2495000.000000,65,OPTIDX,NFO,5.000000
62717,NIFTY24MAR2625150PE,NIFTY,24MAR2026,2515000.000000,65,OPTIDX,NFO,5.000000
62745,NIFTY24MAR2625400CE,NIFTY,24MAR2026,2540000.000000,65,OPTIDX,NFO,5.000000
62764,NIFTY24MAR2625450PE,NIFTY,24MAR2026,2545000.000000,65,OPTIDX,NFO,5.000000
62841,NIFTY24MAR2626250CE,NIFTY,24MAR2026,2625000.000000,65,OPTIDX,NFO,5.000000
